Id	Buckwalter	Arabic	English	Meanings	BanglaMeanings
394	xms	خمس	khā mīm sīn	 Take ONE from FIVE (as in  khamasa al-qawma; he took the fifth part of the possessions of the people), be  the fifth of the people (to make five by adding oneself to the number), be fifth  in a race, five cornered/five angled/pentaganol, five cubits in length.	
395	xmT	خمط	khā mīm ṭā	 Disagreeable in taste,  choking (applied to a fruit), to be bitter, acidic; a bitter plant.	
396	xnzr	خنزر	khā nūn zāy rā	 swine/pig.	
397	xns	خنس	khā nūn sīn	 To  retreat/recede/drawback, retire or hold back, lag behind, shrink and  hide/withdraw oneself, remain behind a company of people (as opposed to going  with them [ syn. takhallafa] ), sneak something away (so as not to be  seen), keep one back, place one behind or after, contract/draw together or make  to contract/draw together.	
398	xnq	خنق	khā nūn qāf	 To throttle/strangle/choke  (a person or thing), to straiten, nearly cover or nearly attain a thing,  fill/fill up a thing, squeeze or compress upon one's throat, take or seize by  the throat, constrain or distress.	
399	xwr	خور	khā wāw rā	 Utter a cry/low or bellow  (primarily a bull or cattle), to bend/turn/incline towards someone, become  weak/feeble/languid, soft or fragile, become faint/remit or abate, - [in a camel  that is drinking, khawar denotes or implies a quality that is  praised; i.e. Patient enduring of thirst and fatigue: and a quality  dispraised as well; i.e. The Lacking patience to endure thirst and fatigue.  (TA)] - interrogate, unable to endure difficulty or distress, act cowardly.	
400	xwD	خوض	khā wāw ḍād	 To wade/walk/pass  through/enter, to bring one thing to another, to penetrate or force one's way to  or through a thing, plunge into a thing, follow erring, enter into false/vain  discourse or speech, mix and stir about (beverage or wine), act wrongly or in an  improper manner&nbsp;concerning an affair.	
401	xwf	خوف	khā wāw fā	 To fear, to be  afraid/frightened/terrified, to put fear into another, diminish or lessen or  take from, to take little by little from a thing, take from the sides of a  thing, slaughter or fight.	
402	xwl	خول	khā wāw lām	 To  manage/govern/sustain/tend to one's dependants, to be in possession (owner) of a  property or other thing (such as slaves or servants or dependants), having many  maternal uncles, perceive or discover, pay frequent attention to or return to  time after time, lend a thing to someone, be a keeper or guardian of a thing, a  sign or mark or token of good, bestow a gift or confer upon someone, to be or do  or produce what is good.	
403	xwn	خون	khā wāw nūn	 To be unfaithful or act  unfaithfully to the confidence or trust reposed in a person, act treacherously  or unfaithfully, neglect or fail in trustworthiness or faithfulness/loyalty, act  contrary to what is right by breaking a pact or covenant, make to suffer loss or  diminution, break off/become severed, alter the state or condition of a thing or  person for the worse, diminish/waste/impair/take from a thing little by little,  languid or weak, intentionally look at a thing which it is not allowable to  look, make a look that induces suspicion or evil opinion.	
404	xwy	خوي	khā wāw yā	 Become  empty/vacant/unoccupied, become devoid or destitute of it's occupants ( a  place), fall down or become demolished, become empty of food (hunger in the  belly), call or cry out, seize/take/carry off by force, make a space between  one's upper arms and sides in prostration, lower the eyes or look towards the  ground and desiring to be silent, dig a hole or hollow in the ground, abstain  from food, lose reason or intellect, take away another person's possession.	
405	xyb	خيب	khā yā bā	 Fail of attaining a desire or  what is sought, to be denied/prohibted/debarred from what one desires or seeks,  disappointed or frustrated, suffer loss, habitually unsuccessful.	
406	xyr	خير	khā yā rā	 Be possessed of good, to do  good, give one a choice or option (and also be given a choice or option), prefer  one thing or person over another thing or person, preferred/pronounced/chosen,  strive to surpass one in goodness, excellent in beauty and disposition, to be  ideal (show actual or potential usefulness or benefit), be desired in all  circumstances and by every person, exalted in rank or quality or reputation, to  be better than another person or thing, be the best of things or people, to be  generous (possess and show generosity), possess nobility or eminence, be  elevated in state or condition.	
407	xyT	خيط	khā yā ṭā	 To thread, sew/sew  together/sew up, couple one thing with another, pass by or to or towards a  person or thing, run/pass along quickly, journey without interruption (not  pausing for anything), to be streaked with whiteness of the hair or beard, sew  with a thread or string, to be scattered or in an abject state.	
408	xyl	خيل	khā yā lām	 To think or have an opinion  of a thing, surmise or fancy a thing, limp or halt, slightly lame, image a thing  (form an image) in the mind, perceive or discover, convey doubt or suspicion, to  be cowardly or weak-hearted on the occassion of a fight [and thus do not  act/proceed firmly or steadily], hold back from people or a party through  cowardice, vie with/rival/imitate someone (do as he does) in pride and  self-conceit, dubious/confused/vague, become abundant in plants or herbage  (land), go on or away, act with a penetrative energy (being quick), behave  proudly or haughtily, walk with pride or self-conceit, weak in heart and body,  free from an attachment of love (having no spouse).	
409	xym	خيم	khā yā mīm	 Hold back or refrain from  someone through cowardice and fear, raise one's leg or foot, pitch one's tent,  remain/stay/dwell in a place, unable to place one's leg or foot firmly on the  ground.	
410	dAb	دأب	dāl hamza bā	 to be diligent, zealous, strive steadily, urge, drive, hold one’s course,    toil constantly.   da'aba    vb. (1) pcple. act. 14:33	
411	dbb	دبب	dāl bā bā	Ba with a tashdeed on the Ba) = to go gently,    crawl/creep/walk, hit, expine, flow, throw.   Whatsoever moves on earth especially beasts of burden, quadraped, beast,    moving creature, insect, creature on earth, materialistic person whose    endeavors are wholly directed to the acquisition of worldy riches and material    comforts and who has fallen on the pleasures of this world with all his might    and main.	
412	dbr	دبر	dāl bā rā	 to turn the back, flee, follow after, be behind, become    old, take a thing away, veer to the west wind, elapse (day, night), follow    with respect.   Back, hinder part, the last, extremity, that which comes after, at the end of,    extreme, last remnant, uttermost part.   To dispose, manage, govern, consider, the issues or results of the affairs or    the case, perform or execute the affair with thought or consideration, devise    or plan the affair with thought or consideration, devise or plan the affair,    regulate.   Consequence, result.   idbar = retreat, withdrawal, setting.	
413	dvr	دثر	dāl thā rā		
414	dHr	دحر	dāl ḥā rā	 To drive away, repel, turn off, discard, banish.	
415	dHD	دحض	dāl ḥā ḍād	 slip, having no firmness/stability, become null &amp; void, to anul/void/reject,    examine into, to be weak, to jerk/decline, that which has no force/weight, to    refute/condemn, to depart, to go away.	
416	dHw	دحو	dāl ḥā wāw	Ha-Alif) = To hurl, spread forth, expand, stretch out, cast away, extend,    drive along.	
417	dxr	دخر	dāl khā rā	 To be    small, mean, lowly, of no value or account, abject, humbled.	
418	dxl	دخل	dāl khā lām	 to enter, got in, passed, to penetrate, breach, break    through, invade, come upon, visit, intrude, meddle, insert, introduce, to    participate/commence/include/take part, it became comprehended/comprised in    it, mix/intermingle.   Have intercourse with, go into (one's wife).   Income/revenue/profit.   confused/badness/unsound/corrupt, vice, deceit/guile/circumvention.   A select group of close associates.   A place of entrance, gate, ingoing, instrument allowing entrance, key.   Guest.	
419	dxn	دخن	dāl khā nūn	 To smoke, raise smoke or dust, become altered, be ill-natured, fumigate,    grope clumsily, handle (a thing) clumsily, spoil, fail to handle properly.	
420	drA	درأ	dāl rā hamza	Ra-Hamza) = To repel, revert, drive off; put off, avert, overcome,    combat, quarrel, urge, rush suddenly, repel in a quarrel, disagree.	
421	drj	درج	dāl rā jīm	 To walk step by step, proceed gradually, destroy by degrees, insert a thing,    unwrap, come gradually to, deceive, show forbearance to (a sinner).	
422	drr	درر	dāl rā rā	 To flow copiously, plentifully, give much, shine.	
423	drs	درس	dāl rā sīn	 To study, read, read with attention, disappear (trace), efface, obliterate,    teach.	
424	drk	درك	dāl rā kāf	 To overtake, follow up, drop closely.	
425	drhm	درهم	dāl rā hā mīm	 A certain silver coin, unit of currency (smaller than Dinar?).	
426	dry	دري	dāl rā yā	 To know, know by skill.	
427	dsr	دسر	dāl sīn rā	 To repair with nails, spear, caulk and make a ship water-tight, nail a    thing, ram in.	
428	dss	دسس	dāl sīn sīn	 To hide, bury, conceal, insinuate, thrust. 	
429	dsw	دسو	dāl sīn wāw	 corrupt	
430	dEE	دعع	dāl ʿayn ʿayn	 to repel, push, thrust, push back and drive away with violence.	
431	dEw	دعو	dāl ʿayn wāw	 to seek, desire, ask, demand, call upon, invoke, ascribe,    cry out, call out to, pray, supplicate, petition, require, need, summon,    invite, assert, succour. (e.g. 'daAAa' in phonetic search engine).   Adopted son (adiya, pl. of da'iy).	
432	dfA	دفأ	dāl fā hamza	 to be or keep warm, be hot. 	
433	dfE	دفع	dāl fā ʿayn	 To push, pay over to, repel, drive away, avert, defend, discard, refute,    quiet, plead, deliver up, dash (torrent), struggle, hinder.	
434	dfq	دفق	dāl fā qāf	 To flow with force, pour forth, go briskly.	
435	dkk	دكك	dāl kāf kāf	 To crush, break, beat, deflate, ground, crumble to pieces, be completely    crushed and broken to pieces.	
436	dlk	دلك	dāl lām kāf	 rubbing, squeezing, pressing, decline, sinking, become    red, set, incline downwards from the meridian (sun). The whole phrase &quot;duluk-as-shams&quot;    defined as &quot;sunset&quot; by Lane.	
437	dll	دلل	dāl lām lām	 To show, point out, indicate, direct, point at, guide, delude, discover,    lead.	
438	dlw	دلو	dāl lām wāw	Lam-Alif) = To let down (e.g. a bucket  into a well), to lower, a bucket.	
439	dmdm	دمدم	dāl mīm dāl mīm	 He smeared or did over, a thing much, or exceedingly, or with energy: and he    so covered over a thing.	
440	dmr	دمر	dāl mīm rā	 To perish utterly, be annihilated, to destroy.	
441	dmE	دمع	dāl mīm ʿayn	 To shed tears.	
442	dmg	دمغ	dāl mīm ghayn	 To destroy, damage the brain, overcome, prevail upon (error), disgrace,    knock out.	
443	dmw	دمو	dāl mīm wāw		
444	dnr	دنر	dāl nūn rā	 to glisten (face), strike (money), Dinar, unit of currency.	
445	dnw	دنو	dāl nūn wāw	Nun-Alif) = To be near, come near or low, let down, be akin to.    	
446	dhq	دهق	dāl hā qāf	 To fill up, pour forth (a cup).	
447	dhm	دهم	dāl hā mīm	 To crush, come suddenly upon, blacken.	
448	dhn	دهن	dāl hā nūn	 To anoint, strike (with a stick), moisten, blandish, pleasantly smooth,    agreeable and suave, dissemble with, coax, be pliant, grease, dis-simulate.	
449	dhy	دهي	dāl hā yā	 To overtake, calamity (as it encompasses a person on all sides, astound,    happen, injuriously affected)	
